,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
29,"Resumo do discurso de Bolsonaro na ONU:  - Auxílio Emergencial teve parcelas de 1000 dólares  - Quem promove queimadas são ""índios e caboclos""  - Combate à ""cristofobia"" é prioridade  - Puxa-saco de Trump pelos acordos pró-Israel  O sujeito é uma fábrica de fake news e sandices.",279,1308405567459917825,2020-09-22 13:59:30,Twitter Web App,2731,648,"São Paulo, Brasil",,
30,"Sem citar governo de Bolsonaro, piloto participou de campanha da WWF, na qual diz que “queimadas são deliberadas, focadas no desmatamento, causam devastação generalizada e sofrimento inimaginável para as comunidades indígenas” https://t.co/Wxj97qm3rz",250,1306779326004822017,2020-09-18 02:17:24,TweetDeck,2491,663,Brasil,,
31,"&gt;@EstadaoEsporte Em vídeo, Lewis Hamilton faz campanha para conter queimadas na Amazônia https://t.co/zbYddg0Rvq",115,1306671764953427972,2020-09-17 19:10:00,TweetDeck,2124,259,São Paulo,,
32,Ricardo Salles culpa 'visão ideológica' por aumento de queimadas https://t.co/ekq8YAbzxA,88,1306660471458668544,2020-09-17 18:25:07,Zapier.com,688,160,Brasil,,
33,"“As queimadas destruíram roças, queimaram casas. Estamos muitos preocupado com as nossas matas porque é delas que retiramos o nosso sustento, as nossas medicações tradicionais. Com a queimada, tudo isso está comprometido. Tudo está acabando”, diz Alessandra Guató, do povo Guató.",279,1306651073181093890,2020-09-17 17:47:46,Twitter Web App,859,298,"São Paulo, Brasil",,
34,Bolsonaro ignora queimadas e desmatamento e diz que o Brasil está de 'parabéns' na questão ambiental: 'É o País que mais preserva o meio ambiente' https://t.co/eCREJ7Alcw,170,1306681831287222273,2020-09-17 19:50:00,TweetDeck,1122,237,São Paulo,,
35,"VÍDEO: ‘O tempo está se esgotando’, diz Hamilton em campanha contra queimadas na Amazônia https://t.co/K9aW6LlH5A",113,1306768002050916353,2020-09-18 01:32:24,Twitter Web App,581,171,"Sao Paulo, Brazil",,
36,"Brasil sofre inquérito da ONU pelas queimadas, desmatamentos e violações aos direitos humanos.",94,1306680684422074368,2020-09-17 19:45:26,Twitter for iPhone,1411,247,"ÜT: -23.542504,-46.657429",,
37,"O Ministro do Meio Ambiente @rsallesmma esteve ao vivo no @programapanico, falando a verdade sobre a Amazônia, o Pantanal, queimadas e outros assuntos.  Assista online no link: https://t.co/lyUjSj11am",200,1306659201649958912,2020-09-17 18:20:04,Twitter for iPhone,678,154,São Paulo - SP,,
38,"O Pantanal bateu o recorde histórico de queimadas para o mês de setembro, mas Bolsonaro disse que o Brasil está de parabéns no cuidado com o meio ambiente. É criminosa a forma como o presidente mente para o povo. O que o governo faz é um verdadeiro genocídio das nossas florestas.",280,1306702992180215809,2020-09-17 21:14:05,Twitter for iPhone,540,107,"Niterói, Brasil",,
39,Você tem ideia da dimensão das queimadas no Pantanal?  Essa imagem mostra os focos de incêndio na região da terra dos Guató apenas de julho a setembro. O fogo varreu a terra e o Parque Estadual do Encontro das Águas 👇🏽 https://t.co/JpZ44We3Cf,242,1306650082683564033,2020-09-17 17:43:50,Twitter Web App,164,82,"São Paulo, Brasil",,
40,"Recorde de queimadas, desmatamento, destruição de biomas, da fauna, da flora e Bolsonaro diz que Brasil está de “parabéns por preservação ambiental”?  É muito cinismo!",167,1306658937907929096,2020-09-17 18:19:02,Twitter for iPhone,788,148,"Brasil, Distrito Federal",,
41,"A Pública conversou com um agente do PrevFogo, do Sistema Nacional de Prevenção e Combate aos Incêndios Florestais, que não quis se identificar. Segundo o servidor, os monitoramentos meteorológicos já apontavam a intensificação das queimadas em 2020, mas governo demorou a agir.",278,1306651077572517890,2020-09-17 17:47:47,Twitter Web App,468,129,"São Paulo, Brasil",,
42,"Dados de satélites são a base para o combate ao desmatamento e queimadas, e devem ser públicos. O chefe do Conselho da Amazônia deveria saber que ciência se faz com transparência. #InimigoDoMeioAmbiente https://t.co/jrVezSZv9j",226,1306680430545055744,2020-09-17 19:44:26,TweetDeck,184,43,Brasil,,
43,Bolsonaro ignora queimadas e desmatamento e diz que o Brasil está de 'parabéns' na questão ambiental https://t.co/eCREJ7iKkY,124,1306732162884997122,2020-09-17 23:10:00,TweetDeck,143,36,São Paulo,,
44,"A Marinha, por meio do Navio-Transporte Fluvial “Almirante Leverger”, apoiou, ontem (16), o combate a um incêndio pontual na vegetação da região do Porto da Manga, a 75 quilômetros de Corumbá-MS. O incidente não tem relação com os focos anteriores de queimadas no Pantanal. https://t.co/IROmzAJEUy",297,1306719500599951360,2020-09-17 22:19:41,Twitter for iPhone,426,46,Brasil,,
45,"Ainda neste ano, o Inpe também registrou a maior taxa já contabilizada de focos de incêndio no bioma, foram 15.756 registrados https://t.co/tTwdGL1Djj",150,1306649778445574144,2020-09-17 17:42:38,Twitter Web App,77,20,"São Paulo, Brasil",,
